method,k,epsilon,idf_type,sample,class,sample_silhouette_score,status,global_silhouette_non_singleton,species,group,group_id
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000691585.1_ASM69158v1_genomic.fa,canis,,not_computed,0.32241322,Brucella canis,canis,3
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.74438741,clear,0.32241322,Brucella abortus,abortus,0
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.72868519,clear,0.32241322,Brucella abortus,abortus,0
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000740235.1_ASM74023v1_genomic.fa,suis,,not_computed,0.32241322,Brucella suis,suis,2
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,,not_computed,0.32241322,Brucella pinnipedialis,pinnipedialis,4
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,,not_computed,0.32241322,Brucella melitensis,melitensis,1
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,0.5292686,clear,0.32241322,Brucella sp. 2002734562,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.14844694,possibly_misplaced,0.32241322,Brucella sp. B13-0095,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.34582588,possibly_misplaced,0.32241322,Brucella sp. 09RB8471,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.34975255,possibly_misplaced,0.32241322,Brucella sp. 09RB8910,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,0.16617503,clear,0.32241322,Brucella sp. 2280,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,0.22702511,clear,0.32241322,Brucella sp. DSM 103976,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,0.31154009,clear,0.32241322,Brucella sp. 6810,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,0.00302439,weak/ambiguous,0.32241322,Brucella sp. BO2,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_900000005.1_BVF60_genomic.fa,vulpis,,not_computed,0.32241322,Brucella vulpis,vulpis,5
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,0.27836333,clear,0.32241322,Brucella sp. 10RB9215,Brucella_sp,7
tfidf_normalized_KL_symmetric_smooth_idf,15,1e-12,smooth,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,,not_computed,0.32241322,Brucella inopinata,inopinata,6
