method,k,alpha,beta,sample,class,sample_silhouette_score,status
baseline_KL_w1,15,0.1,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.54407265,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.47298475,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.30117597,clear
baseline_KL_w1,15,0.1,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.13913539,clear
baseline_KL_w1,15,0.1,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.54410671,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.27715434,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.40795628,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.53212058,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.17881209,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.18535045,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.29602992,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.26865736,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,15,0.1,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.16664293,possibly_misplaced
baseline_KL_w1,15,0.1,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.33163808,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.65961929,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32814379,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.54922261,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.70741257,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.47437473,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.70200500,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.53827543,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.45504665,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.81191472,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.51185404,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.45661538,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.52584720,clear
baseline_KL_w1,15,1.0,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.47157296,clear
baseline_KL_w1,15,1.0,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.53610320,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.33879903,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.42994424,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.53158408,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.17187507,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.20044556,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.24440607,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.34893949,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,15,1.0,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.14938859,possibly_misplaced
baseline_KL_w1,15,1.0,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.11737324,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.13002808,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32433795,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.51514909,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.49435713,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.79280160,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.56670422,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.52495445,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.71429461,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.67323479,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.79908624,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.64060152,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.52898515,clear
baseline_KL_w1,21,0.001,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.63696203,clear
baseline_KL_w1,21,0.001,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.83581566,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.21771085,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.41370779,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.45087058,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.18113938,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.54153493,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.20227409,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.53228340,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.001,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.21654041,possibly_misplaced
baseline_KL_w1,21,0.001,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.11663546,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.16092915,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.32634068,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.51997446,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.49673559,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.78444641,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.57052146,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.52186044,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.70827496,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.66592634,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.79381515,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.64104695,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.56508423,clear
baseline_KL_w1,21,0.01,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.65904619,clear
baseline_KL_w1,21,0.01,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.83346101,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.21338513,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.40937671,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.43588707,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.17689052,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.53477086,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.19846115,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.52913008,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.01,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.20837394,possibly_misplaced
baseline_KL_w1,21,0.01,NA,GCA_900095155.1_BR141012304v1_genomic.fa,inopinata,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_000157875.1_ASM15787v1_genomic.fa,Brucella_sp,-0.15545780,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000158995.1_ASM15899v1_genomic.fa,Brucella_sp,-0.24065684,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000163135.1_ASM16313v1_genomic.fa,Brucella_sp,-0.33771871,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000370925.1_Bruc_sp_56_94_V1_genomic.fa,Brucella_sp,-0.53171211,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000370945.1_Bruc_sp_63_311_V1_genomic.fa,Brucella_sp,-0.50799950,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000370965.1_Bruc_sp_F23_97_V1_genomic.fa,Brucella_sp,-0.75719867,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000370985.1_Bruc_sp_F5_06_V1_genomic.fa,Brucella_sp,-0.57692975,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000371005.1_Bruc_sp_F8_99_V1_genomic.fa,Brucella_sp,-0.51890634,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000371025.1_Bruc_sp_F96_2_V1_genomic.fa,Brucella_sp,-0.69176291,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000371045.1_Bruc_sp_UK1_97_V1_genomic.fa,Brucella_sp,-0.65372799,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000371065.1_Bruc_sp_UK40_99_V1_genomic.fa,Brucella_sp,-0.77440275,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000480195.1_Bruc_sp_04-5288_V1_genomic.fa,Brucella_sp,-0.64852870,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_000691585.1_ASM69158v1_genomic.fa,canis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_000740135.1_ASM74013v1_genomic.fa,abortus,0.64233948,clear
baseline_KL_w1,21,0.1,NA,GCA_000740155.1_ASM74015v1_genomic.fa,abortus,0.71130103,clear
baseline_KL_w1,21,0.1,NA,GCA_000740235.1_ASM74023v1_genomic.fa,suis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_000740275.1_ASM74027v1_genomic.fa,pinnipedialis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_001307475.2_ASM130747v2_genomic.fa,melitensis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_001715385.1_ASM171538v1_genomic.fa,Brucella_sp,-0.82258045,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_001742815.1_ASM174281v1_genomic.fa,Brucella_sp,-0.21342425,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_001971625.1_ASM197162v1_genomic.fa,Brucella_sp,-0.40936124,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_001971805.1_ASM197180v1_genomic.fa,Brucella_sp,-0.41925081,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_009601725.1_ASM960172v1_genomic.fa,Brucella_sp,-0.17837355,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_014084005.1_ASM1408400v1_genomic.fa,Brucella_sp,-0.50744889,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_014495905.1_ASM1449590v1_genomic.fa,Brucella_sp,-0.19189935,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_015832115.1_ASM1583211v1_genomic.fa,Brucella_sp,-0.53009993,possibly_misplaced
baseline_KL_w1,21,0.1,NA,GCA_900000005.1_BVF60_genomic.fa,vulpis,0.00000000,weak/ambiguous
baseline_KL_w1,21,0.1,NA,GCA_900092405.1_10RB9215v1_genomic.fa,Brucella_sp,-0.19684368,possibly_misplaced
